#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 08 16 06 40  70  8.0 10.0    MM    MM    MM  MM 1015.0  29.3  29.7  26.3   MM   MM    MM
2023 08 16 06 30  70  8.0 10.0    MM    MM    MM  MM 1015.1  29.3  29.7  26.5   MM   MM    MM
2023 08 16 06 20  80  8.0 11.0   2.2    MM   6.0 102 1015.3  29.3  29.7  26.3   MM   MM    MM
2023 08 16 06 10  70  8.0 11.0   2.2    MM   6.0 102 1015.2  29.3  29.7  26.3   MM   MM    MM
2023 08 16 06 00  70  9.0 11.0    MM    MM    MM  MM 1015.1  29.2  29.7  26.2   MM -1.4    MM
2023 08 16 05 50  70  9.0 11.0   2.2     8   5.9 106 1015.1  29.2  29.7  26.2   MM   MM    MM
2023 08 16 05 40  70  9.0 11.0   2.2    MM   5.9 106 1015.2  29.3  29.7  26.3   MM   MM    MM
2023 08 16 05 30  70  9.0 11.0    MM    MM    MM  MM 1015.2  29.3    MM  26.3   MM   MM    MM
2023 08 16 05 20  70  9.0 11.0   2.2     9   5.9 101 1015.2  29.3  29.7  26.2   MM   MM    MM
2023 08 16 05 10  70  8.0 10.0   2.2    MM   5.9 101 1015.2  29.4  29.7  26.5   MM   MM    MM
2023 08 16 05 00  70  9.0 11.0    MM    MM    MM  MM 1015.3  29.4  29.7  26.2   MM -0.9    MM
2023 08 16 04 50  80  8.0 11.0   2.2     9   5.9 102 1015.5  29.4    MM  26.6   MM   MM    MM
2023 08 16 04 40  70  9.0 11.0   2.2    MM   5.9 102 1015.6  29.6  29.7  26.4   MM   MM    MM
2023 08 16 04 30  70 10.0 12.0    MM    MM    MM  MM 1015.7  29.6  29.7  26.0   MM   MM    MM
2023 08 16 04 20  70 10.0 12.0   2.1     8   5.7 106 1015.9  29.7  29.7  26.3   MM   MM    MM
2023 08 16 04 10  70  9.0 11.0   2.1    MM   5.7 106 1016.1  29.6  29.7  26.5   MM   MM    MM
2023 08 16 04 00  80  9.0 12.0    MM    MM    MM  MM 1016.2  29.6  29.7  26.8   MM +0.0    MM
2023 08 16 03 50  70  9.0 11.0   2.2     8   5.9 102 1016.3  29.6    MM  26.9   MM   MM    MM
2023 08 16 03 40  80  9.0 11.0   2.2    MM   5.9 102 1016.3  29.6  29.8  26.5   MM   MM    MM
2023 08 16 03 30  80  9.0 10.0    MM    MM    MM  MM 1016.4  29.6  29.8  26.7   MM   MM    MM
2023 08 16 03 20  70  8.0 10.0   2.1     8   6.0 103 1016.5  29.6  29.7  26.7   MM   MM    MM
2023 08 16 03 10  70  9.0 11.0    MM    MM    MM  MM 1016.4  29.6  29.7  26.6   MM   MM    MM
2023 08 16 03 00  70  9.0 11.0    MM    MM    MM  MM 1016.5  29.7  29.7  26.7   MM +0.8    MM
2023 08 16 02 50  70  8.0 11.0   1.9     9   5.7 100 1016.4  29.6  29.8  27.0   MM   MM    MM
2023 08 16 02 40  70  8.0 10.0   1.9    MM   5.7 100 1016.4  29.7  29.8  27.0   MM   MM    MM
2023 08 16 02 30  70  8.0 10.0    MM    MM    MM  MM 1016.3  29.6  29.7  26.9   MM   MM    MM
2023 08 16 02 20  70  8.0 10.0   2.0    MM   5.9 113 1016.3  29.7  29.8  27.0   MM   MM    MM
2023 08 16 02 10  MM   MM   MM   2.0     8   5.9 113     MM    MM    MM    MM   MM   MM    MM
2023 08 16 02 00  60  8.0 10.0    MM    MM    MM  MM 1016.2  29.6    MM  26.9   MM +0.8    MM
2023 08 16 01 50  60  9.0 11.0   2.0     8   5.9 104 1016.2  29.6  29.8  27.0   MM   MM    MM
2023 08 16 01 40  60  8.0 11.0    MM    MM    MM  MM 1016.2  29.6  29.8  27.2   MM   MM    MM
2023 08 16 01 30  70  8.0  9.0    MM    MM    MM  MM 1016.2  29.7  29.8  27.0   MM   MM    MM
2023 08 16 01 20  60  9.0 11.0   2.0     8   6.1 108 1016.0  29.8  29.8  26.6   MM   MM    MM
2023 08 16 01 10  60  8.0 10.0    MM    MM    MM  MM 1016.1  29.7  29.8  26.8   MM   MM    MM
2023 08 16 01 00  60  8.0 10.0    MM    MM    MM  MM 1016.0  29.7  29.8  27.1   MM +1.0    MM
2023 08 16 00 50  60  8.0 10.0    MM    MM    MM  MM 1016.0  29.6  29.8  27.2   MM   MM    MM
2023 08 16 00 40  60  8.0 10.0    MM    MM    MM  MM 1015.9  29.7  29.8  27.2   MM   MM    MM
2023 08 16 00 30  50  7.0  9.0    MM    MM    MM  MM 1015.9  29.7    MM  27.2   MM   MM    MM
2023 08 16 00 20  60  8.0  9.0   2.0     8   6.0 111 1016.0  29.7    MM  27.1   MM   MM    MM
2023 08 16 00 10  60  8.0  9.0   2.0    MM   6.0 111 1015.9  29.7  29.8  27.1   MM   MM    MM
2023 08 16 00 00  60  8.0 10.0    MM    MM    MM  MM 1015.7  29.7  29.8  27.0   MM +0.9    MM
2023 08 15 23 50  60  7.0  9.0   2.1     8   6.1 102 1015.7  29.7  29.8  27.3   MM   MM    MM
2023 08 15 23 40  50  7.0  9.0    MM    MM    MM  MM 1015.5  29.7  29.8  27.1   MM   MM    MM
2023 08 15 23 30  50  8.0 10.0    MM    MM    MM  MM 1015.6  29.7  29.8  27.1   MM   MM    MM
2023 08 15 23 20  60  7.0  9.0   2.1     8   6.2 101 1015.5  29.6  29.9  27.2   MM   MM    MM
2023 08 15 23 10  60  8.0  9.0    MM    MM    MM  MM 1015.4  29.7  29.9  27.1   MM   MM    MM
2023 08 15 23 00  70  8.0 10.0    MM    MM    MM  MM 1015.4  29.7  29.8  26.8   MM +0.6    MM
2023 08 15 22 50  50  8.0 11.0   1.9     8   5.8  98 1015.3  29.7  29.8  26.8   MM   MM    MM
2023 08 15 22 40  50  9.0 10.0    MM    MM    MM  MM 1015.3  29.8    MM  27.0   MM   MM    MM
2023 08 15 22 30  60  8.0 11.0    MM    MM    MM  MM 1015.3  29.8  29.9  27.0   MM   MM    MM
2023 08 15 22 20  60  8.0 11.0   2.1     8   6.1  97 1015.2  29.8  29.9  27.0   MM   MM    MM
2023 08 15 22 10  50  9.0 11.0   2.1    MM   6.1  97 1015.1  29.9  29.9  26.8   MM   MM    MM
2023 08 15 22 00  60  8.0 10.0    MM    MM    MM  MM 1015.0  29.9  29.9  26.9   MM +0.0    MM
2023 08 15 21 50  50  8.0 10.0   1.9     9   6.1 101 1015.0  29.8  29.9  27.0   MM   MM    MM
2023 08 15 21 40  60  8.0 11.0    MM    MM    MM  MM 1015.0  29.9  29.9  27.0   MM   MM    MM
2023 08 15 21 30  50  8.0 10.0    MM    MM    MM  MM 1014.9  29.8  29.9  27.2   MM   MM    MM
2023 08 15 21 20  50  8.0 10.0   2.0     8   6.0 105 1014.7  29.9  29.9  27.1   MM   MM    MM
2023 08 15 21 10  50  8.0 10.0    MM    MM    MM  MM 1014.7  29.9  29.9  27.1   MM   MM    MM
2023 08 15 21 00  50  8.0  9.0    MM    MM    MM  MM 1014.7  29.8    MM  27.2   MM -0.7    MM
2023 08 15 20 50  50  8.0 10.0   2.0     8   6.1 110 1014.7  29.9    MM  27.0   MM   MM    MM
2023 08 15 20 40  50  8.0 10.0   2.0    MM   6.1 110 1014.7  29.9  29.9  27.0   MM   MM    MM
2023 08 15 20 30  50  8.0  9.0    MM    MM    MM  MM 1014.7  29.8  29.9  27.0   MM   MM    MM
2023 08 15 20 20  50  7.0  9.0   2.0     8   6.3 108 1014.8  29.8  29.9  27.2   MM   MM    MM
2023 08 15 20 10  60  7.0  9.0   2.0    MM   6.3 108 1014.8  29.9  29.9  27.1   MM   MM    MM
2023 08 15 20 00  60  8.0  9.0    MM    MM    MM  MM 1014.8  29.9  29.9  26.7   MM -1.3    MM
2023 08 15 19 50  60  7.0  8.0   2.0     8   6.1 110 1014.8  29.9  29.9  26.9   MM   MM    MM
2023 08 15 19 40  60  7.0  9.0    MM    MM    MM  MM 1014.8  29.9  29.9  26.6   MM   MM    MM
2023 08 15 19 30  60  7.0  9.0    MM    MM    MM  MM 1014.8  29.9  29.9  26.7   MM   MM    MM
2023 08 15 19 20  50  7.0  9.0   1.8     9   5.8 105 1014.9  29.8  29.9  26.8   MM   MM    MM
2023 08 15 19 10  60  6.0  8.0   1.8    MM   5.8 105 1015.0  29.8  29.9  26.9   MM   MM    MM
2023 08 15 19 00  60  7.0  8.0    MM    MM    MM  MM 1015.0  29.8    MM  26.8   MM -1.3    MM
2023 08 15 18 50  60  7.0  8.0   2.0     8   6.0 111 1015.0  29.8    MM  26.6   MM   MM    MM
2023 08 15 18 40  60  7.0  9.0    MM    MM    MM  MM 1015.1  29.8  29.9  26.5   MM   MM    MM
2023 08 15 18 30  60  7.0  8.0    MM    MM    MM  MM 1015.2  29.7  29.9  26.8   MM   MM    MM
2023 08 15 18 20  70  7.0  8.0   2.1     8   6.2 113 1015.2  29.7  29.9  26.7   MM   MM    MM
2023 08 15 18 10  70  7.0  9.0   2.1    MM   6.2 113 1015.3  29.7  29.9  26.6   MM   MM    MM
2023 08 15 18 00  70  7.0  8.0    MM    MM    MM  MM 1015.5  29.8    MM  26.6   MM -1.3    MM
2023 08 15 17 50  70  7.0  9.0   2.0    MM   5.9 111 1015.6  29.8  29.9  26.2   MM   MM    MM
2023 08 15 17 40  MM   MM   MM   2.0     8   5.9 111     MM    MM    MM    MM   MM   MM    MM
2023 08 15 17 30  80  6.0  8.0    MM    MM    MM  MM 1015.8  29.8  29.9  26.7   MM   MM    MM
2023 08 15 17 20  70  7.0  9.0   1.9     8   5.8 108 1015.8  29.8  29.9  26.4   MM   MM    MM
2023 08 15 17 10  80  7.0  9.0   1.9    MM   5.8 108 1015.9  29.7  29.9  26.6   MM   MM    MM
2023 08 15 17 00  70  7.0  9.0    MM    MM    MM  MM 1016.0  29.7  29.9  26.8   MM -1.1    MM
2023 08 15 16 50  70  7.0  8.0   2.0     8   6.0 104 1016.0  29.6  29.9  26.8   MM   MM    MM
2023 08 15 16 40  70  7.0  8.0    MM    MM    MM  MM 1016.1  29.6  29.9  26.7   MM   MM    MM
2023 08 15 16 30  70  7.0  9.0    MM    MM    MM  MM 1016.1  29.6  29.8  26.6   MM   MM    MM
2023 08 15 16 20  70  7.0  9.0   2.0     8   5.9 112 1016.2  29.6  29.8  26.9   MM   MM    MM
2023 08 15 16 10  70  7.0  9.0    MM    MM    MM  MM 1016.2  29.6  29.8  26.5   MM   MM    MM
2023 08 15 16 00  70  8.0  9.0    MM    MM    MM  MM 1016.3  29.6  29.8  26.5   MM -0.7    MM
2023 08 15 15 50  70  8.0  9.0   2.0     8   5.9 108 1016.3  29.6  29.8  26.5   MM   MM    MM
2023 08 15 15 40  70  8.0 10.0    MM    MM    MM  MM 1016.3  29.6  29.8  26.6   MM   MM    MM
2023 08 15 15 30  70  8.0  9.0    MM    MM    MM  MM 1016.4  29.6  29.8  26.5   MM   MM    MM
2023 08 15 15 20  70  8.0  9.0   2.0     8   5.8 108 1016.6  29.6    MM  26.3   MM   MM    MM
2023 08 15 15 10  70  8.0 10.0   2.0    MM   5.8 108 1016.7  29.6  29.8  26.4   MM   MM    MM
2023 08 15 15 00  70  8.0 10.0    MM    MM    MM  MM 1016.7  29.6  29.8  26.3   MM +0.0    MM
2023 08 15 14 50  70  8.0  9.0   1.9     8   5.8 108 1016.8  29.7  29.8  26.6   MM   MM    MM
2023 08 15 14 40  70  7.0  9.0    MM    MM    MM  MM 1016.9  29.7  29.8  26.5   MM   MM    MM
2023 08 15 14 30  70  7.0  8.0    MM    MM    MM  MM 1016.9  29.6  29.8  26.2   MM   MM    MM
2023 08 15 14 20  70  7.0  8.0   2.0     8   5.9 115 1017.0  29.6  29.8  26.1   MM   MM    MM
2023 08 15 14 10  80  7.0  8.0    MM    MM    MM  MM 1017.2  29.6  29.8  26.3   MM   MM    MM
2023 08 15 14 00  80  7.0  8.0    MM    MM    MM  MM 1017.2  29.5  29.8  26.0   MM +0.8    MM
2023 08 15 13 50  80  6.0  8.0   2.2     8   6.2 111 1017.1  29.6  29.8  25.7   MM   MM    MM
2023 08 15 13 40  70  7.0  9.0   2.2    MM   6.2 111 1017.2  29.5  29.8  25.8   MM   MM    MM
2023 08 15 13 30  80  7.0  8.0    MM    MM    MM  MM 1017.0  29.5  29.8  26.1   MM   MM    MM
2023 08 15 13 20  80  7.0  9.0   2.0     8   6.0 110 1017.0  29.5  29.8  26.2   MM   MM    MM
2023 08 15 13 10  80  7.0  9.0   2.0    MM   6.0 110 1016.9  29.5  29.7  26.1   MM   MM    MM
2023 08 15 13 00  90  7.0  9.0    MM    MM    MM  MM 1016.8  29.5  29.7  25.9   MM +1.3    MM
2023 08 15 12 50  90  7.0  9.0   2.1     8   5.9 113 1016.8  29.5  29.7  26.2   MM   MM    MM
2023 08 15 12 40  90  8.0  9.0    MM    MM    MM  MM 1016.8  29.5    MM  26.0   MM   MM    MM
2023 08 15 12 30  80  8.0 10.0    MM    MM    MM  MM 1016.7  29.6  29.7  26.2   MM   MM    MM
2023 08 15 12 20  80  8.0  9.0   2.1     8   5.7 108 1016.6  29.6  29.7  25.9   MM   MM    MM
2023 08 15 12 10  80  8.0 10.0   2.1    MM   5.7 108 1016.6  29.6    MM  26.0   MM   MM    MM
2023 08 15 12 00  80  8.0 10.0    MM    MM    MM  MM 1016.7  29.5  29.7  26.0   MM +1.2    MM
2023 08 15 11 50  80  8.0 10.0   1.9     8   5.5 102 1016.7  29.5  29.7  25.9   MM   MM    MM
2023 08 15 11 40  80  9.0 11.0    MM    MM    MM  MM 1016.7  29.6  29.7  25.7   MM   MM    MM
2023 08 15 11 30  80  9.0 11.0    MM    MM    MM  MM 1016.6  29.6  29.7  25.8   MM   MM    MM
2023 08 15 11 20  80  8.0 10.0   2.0     8   5.8 116 1016.6  29.5  29.7  26.2   MM   MM    MM
2023 08 15 11 10  80  9.0 11.0   2.0    MM   5.8 116 1016.5  29.6  29.7  25.7   MM   MM    MM
2023 08 15 11 00  80  9.0 11.0    MM    MM    MM  MM 1016.4  29.5  29.7  25.9   MM +1.0    MM
2023 08 15 10 50  80  9.0 11.0   2.1     8   5.9 108 1016.3  29.5    MM  26.0   MM   MM    MM
2023 08 15 10 40  80  9.0 11.0    MM    MM    MM  MM 1016.1  29.4  29.7  25.7   MM   MM    MM
2023 08 15 10 30  80  9.0 10.0    MM    MM    MM  MM 1016.0  29.5  29.7  26.0   MM   MM    MM
2023 08 15 10 20  80  9.0 11.0   2.0     8   5.9 116 1016.0  29.4  29.7  26.5   MM   MM    MM
2023 08 15 10 10  70  8.0 10.0   2.0    MM   5.9 116 1015.9  29.4  29.7  26.9   MM   MM    MM
2023 08 15 10 00  80  8.0  9.0    MM    MM    MM  MM 1015.7  29.3  29.8  26.7   MM +0.0    MM
2023 08 15 09 50  70  7.0  9.0   2.1     8   5.9 123 1015.7  29.3  29.8  26.5   MM   MM    MM
2023 08 15 09 40  80  7.0  9.0    MM    MM    MM  MM 1015.7    MM  29.7    MM   MM   MM    MM
2023 08 15 09 30  70  8.0  9.0    MM    MM    MM  MM 1015.7  29.3  29.7  26.3   MM   MM    MM
2023 08 15 09 20  70  8.0  9.0   2.1     8   5.8 112 1015.7  29.3  29.8  26.3   MM   MM    MM
2023 08 15 09 10  80  8.0 10.0   2.1    MM   5.8 112 1015.7  29.3    MM  26.1   MM   MM    MM
2023 08 15 09 00  80  8.0  9.0    MM    MM    MM  MM 1015.7  29.3  29.7  26.3   MM -0.4    MM
2023 08 15 08 50  80  8.0 10.0   2.1     8   5.8 115 1015.7  29.4  29.8  26.2   MM   MM    MM
2023 08 15 08 40  80  8.0 10.0    MM    MM    MM  MM 1015.6  29.4  29.8  26.3   MM   MM    MM
2023 08 15 08 30  80  8.0 10.0    MM    MM    MM  MM 1015.6  29.3  29.8  26.1   MM   MM    MM
2023 08 15 08 20  90  8.0 10.0   2.2     8   6.0 115 1015.5  29.3  29.8  26.3   MM   MM    MM
2023 08 15 08 10  80  8.0 10.0    MM    MM    MM  MM 1015.5  29.3  29.8  26.3   MM   MM    MM
2023 08 15 08 00  70  8.0 10.0    MM    MM    MM  MM 1015.3  29.3    MM  26.3   MM -1.2    MM
2023 08 15 07 50  80  8.0 10.0   2.1     8   5.6 116 1015.4  29.3  29.8  26.2   MM   MM    MM
2023 08 15 07 40  80  9.0 11.0   2.0    MM   5.7 119 1015.5  29.3  29.8  26.2   MM   MM    MM
2023 08 15 07 39  MM   MM   MM   2.0     8   5.7 119     MM    MM    MM    MM   MM   MM    MM
2023 08 15 07 30  70  9.0 11.0    MM    MM    MM  MM 1015.5  29.3  29.8  26.2   MM   MM    MM
2023 08 15 07 20  70  9.0 11.0    MM    MM    MM  MM 1015.5  29.3  29.8  26.2   MM   MM    MM
2023 08 15 07 10  70  9.0 11.0    MM    MM    MM  MM 1015.5    MM  29.8    MM   MM   MM    MM
2023 08 15 07 00  80  9.0 11.0    MM    MM    MM  MM 1015.5  29.4  29.8  26.3   MM -1.2    MM
2023 08 15 06 50  80  9.0 12.0   2.1     8   5.9 116 1015.6  29.4  29.8  26.1   MM   MM    MM
2023 08 15 06 40  80  9.0 12.0    MM    MM    MM  MM 1015.7  29.3  29.8  26.2   MM   MM    MM
2023 08 15 06 30  80  9.0 12.0    MM    MM    MM  MM 1015.8  29.4  29.8  26.4   MM   MM    MM
2023 08 15 06 20  80  9.0 11.0   2.0     8   5.7 115 1015.9  29.4  29.8  26.5   MM   MM    MM
2023 08 15 06 10  80  9.0 12.0    MM    MM    MM  MM 1015.9  29.4  29.8  26.3   MM   MM    MM
2023 08 15 06 00  70  9.0 11.0    MM    MM    MM  MM 1016.0  29.3    MM  26.2   MM -1.2    MM
2023 08 15 05 50  70  9.0 10.0    MM    MM    MM  MM 1016.2  29.3    MM  26.4   MM   MM    MM
2023 08 15 05 40  70  9.0 11.0    MM    MM    MM  MM 1016.3  29.4  29.8  26.3   MM   MM    MM
2023 08 15 05 30  70  8.0 10.0    MM    MM    MM  MM 1016.4  29.3  29.8  26.6   MM   MM    MM
2023 08 15 05 20  70  8.0 10.0   2.0     8   5.7 108 1016.5  29.4  29.8  26.4   MM   MM    MM
2023 08 15 05 10  60  9.0 11.0   2.0    MM   5.7 108 1016.6  29.4  29.8  26.5   MM   MM    MM
2023 08 15 05 00  60  9.0 11.0    MM    MM    MM  MM 1016.6  29.4  29.8  26.3   MM -0.7    MM
2023 08 15 04 50  60  9.0 11.0    MM    MM    MM  MM 1016.7  29.5  29.8  26.2   MM   MM    MM
2023 08 15 04 40  60  9.0 11.0    MM    MM    MM  MM 1016.6  29.4  29.8  26.2   MM   MM    MM
2023 08 15 04 30  60  9.0 11.0    MM    MM    MM  MM 1016.7  29.4  29.8  26.4   MM   MM    MM
2023 08 15 04 20  60  9.0 12.0   1.9     8   5.6 116 1016.8  29.6  29.8  26.2   MM   MM    MM
2023 08 15 04 10  70  9.0 11.0    MM    MM    MM  MM 1016.8  29.5  29.8  26.6   MM   MM    MM
2023 08 15 04 00  60  8.0 10.0    MM    MM    MM  MM 1016.8  29.5  29.8  26.7   MM -0.3    MM
2023 08 15 03 50  60  8.0 10.0   2.0     8   5.7 119 1017.0  29.5  29.8  26.7   MM   MM    MM
2023 08 15 03 40  60  9.0 11.0    MM    MM    MM  MM 1017.0  29.5  29.8  26.5   MM   MM    MM
2023 08 15 03 30  60  8.0 11.0    MM    MM    MM  MM 1017.1  29.5  29.8  26.5   MM   MM    MM
2023 08 15 03 20  70  9.0 11.0   1.9     7   5.4 112 1017.1  29.5  29.8  26.4   MM   MM    MM
2023 08 15 03 10  70  8.0 10.0   1.9    MM   5.4 112 1017.2  29.6  29.8  26.8   MM   MM    MM
2023 08 15 03 00  70  9.0 11.0    MM    MM    MM  MM 1017.2  29.6    MM  26.6   MM +0.7    MM
2023 08 15 02 50  60  9.0 11.0   1.9     8   5.4 112 1017.3  29.7  29.8  26.3   MM   MM    MM
2023 08 15 02 40  60  9.0 11.0    MM    MM    MM  MM 1017.3  29.6  29.8  26.8   MM   MM    MM
2023 08 15 02 30  60  9.0 11.0    MM    MM    MM  MM 1017.4  29.7  29.8  26.5   MM   MM    MM
2023 08 15 02 20  60  9.0 11.0   1.9    MM   5.6 111 1017.3    MM  29.8    MM   MM   MM    MM
2023 08 15 02 10  60  9.0 11.0   1.9    MM   5.6 111 1017.4  29.7  29.8  26.6   MM   MM    MM
2023 08 15 02 00  60  8.0 10.0    MM    MM    MM  MM 1017.4  29.6    MM  26.9   MM +1.2    MM
2023 08 15 01 50  60  8.0 11.0   1.8     8   5.5 108 1017.3  29.6  29.8  26.9   MM   MM    MM
2023 08 15 01 40  60  9.0 11.0    MM    MM    MM  MM 1017.3  29.6  29.8  26.8   MM   MM    MM
2023 08 15 01 30  70  8.0 10.0    MM    MM    MM  MM 1017.2  29.6  29.8  27.0   MM   MM    MM
2023 08 15 01 20  60  8.0 10.0    MM    MM    MM  MM 1017.1  29.6  29.8  26.8   MM   MM    MM
2023 08 15 01 10  70  9.0 11.0    MM    MM    MM  MM 1017.1  29.6  29.8  26.7   MM   MM    MM
2023 08 15 01 00  70  9.0 11.0    MM    MM    MM  MM 1017.1  29.5  29.8  26.6   MM +1.3    MM
2023 08 15 00 50  70  8.0 11.0   1.8     7   5.7 115 1017.0  29.5    MM  26.7   MM   MM    MM
2023 08 15 00 40  60  8.0 10.0   1.8    MM   5.7 115 1016.9  29.5  29.8  26.9   MM   MM    MM
2023 08 15 00 30  60  8.0 10.0    MM    MM    MM  MM 1016.8  29.5  29.8  26.8   MM   MM    MM
2023 08 15 00 20  60  9.0 11.0   1.7     8   5.6 118 1016.8  29.6  29.8  26.5   MM   MM    MM
2023 08 15 00 10  60  9.0 10.0   1.7    MM   5.6 118 1016.6  29.6    MM  26.3   MM   MM    MM
2023 08 15 00 00  60  8.0 10.0    MM    MM    MM  MM 1016.6  29.6  29.8  26.3   MM +0.8    MM
2023 08 14 23 50  60  8.0 10.0   1.8     7   5.5 112 1016.5  29.6  29.8  26.2   MM   MM    MM
2023 08 14 23 40  60  8.0 10.0   1.8    MM   5.5 112 1016.5  29.6  29.8  26.4   MM   MM    MM
2023 08 14 23 30  50  8.0 10.0    MM    MM    MM  MM 1016.3  29.6  29.8  26.5   MM   MM    MM
2023 08 14 23 20  60  8.0 10.0    MM    MM    MM  MM 1016.3  29.6  29.8  26.3   MM   MM    MM
2023 08 14 23 10  60  8.0 10.0    MM    MM    MM  MM 1016.2  29.6  29.8  26.4   MM   MM    MM
2023 08 14 23 00  50  8.0 10.0    MM    MM    MM  MM 1016.0  29.7    MM  26.6   MM +0.3    MM
2023 08 14 22 50  50  8.0 10.0   1.6     8   5.4 119 1016.1  29.7  29.9  26.5   MM   MM    MM
2023 08 14 22 40  60  8.0  9.0    MM    MM    MM  MM 1015.8  29.7  29.9  26.4   MM   MM    MM
2023 08 14 22 30  60  8.0 10.0    MM    MM    MM  MM 1015.8    MM  29.9    MM   MM   MM    MM
2023 08 14 22 20  60  7.0  9.0   1.6     7   5.4 110 1015.7  29.7  29.9  26.6   MM   MM    MM
2023 08 14 22 10  60  7.0  9.0    MM    MM    MM  MM 1015.7  29.7  29.9  26.7   MM   MM    MM
2023 08 14 22 00  60  7.0  8.0    MM    MM    MM  MM 1015.6  29.7  29.9  26.7   MM +0.0    MM
2023 08 14 21 50  60  7.0  9.0   1.7     8   5.5 116 1015.7  29.7  29.9  26.5   MM   MM    MM
2023 08 14 21 40  60  7.0  9.0   1.7    MM   5.5 116 1015.5  29.8  29.9  26.7   MM   MM    MM
2023 08 14 21 30  60  7.0  9.0    MM    MM    MM  MM 1015.5  29.8  29.9  26.5   MM   MM    MM
2023 08 14 21 20  60  7.0  9.0   1.7    MM   5.5 104 1015.5    MM    MM    MM   MM   MM    MM
2023 08 14 21 10  MM   MM   MM   1.7     7   5.5 104     MM    MM    MM    MM   MM   MM    MM
2023 08 14 21 00  60  8.0 10.0    MM    MM    MM  MM 1015.6  29.8    MM  26.3   MM -1.2    MM
2023 08 14 20 50  60  8.0 10.0   1.6    MM   5.5 119 1015.8  29.8  29.9  26.9   MM   MM    MM
2023 08 14 20 40  60  7.0  9.0   1.6    MM   5.5 119 1015.6  29.8  29.9  26.8   MM   MM    MM
2023 08 14 20 30  60  8.0  9.0    MM    MM    MM  MM 1015.6  29.7  29.9  26.7   MM   MM    MM
2023 08 14 20 20  60  8.0 10.0   1.7     8   5.5 113 1015.6  29.8  29.9  26.7   MM   MM    MM
2023 08 14 20 10  60  8.0  9.0   1.7    MM   5.5 113 1015.6  29.8  29.9  26.6   MM   MM    MM
2023 08 14 20 00  60  7.0  9.0    MM    MM    MM  MM 1015.7  29.7  29.9  26.8   MM -1.5    MM
2023 08 14 19 50  60  8.0  9.0   1.7     7   5.6  92 1015.7  29.7  29.9  26.7   MM   MM    MM
2023 08 14 19 40  60  7.0  9.0   1.7    MM   5.6  92 1015.6  29.7  29.9  26.7   MM   MM    MM
2023 08 14 19 30  60  7.0 10.0    MM    MM    MM  MM 1015.7  29.8  29.9  26.7   MM   MM    MM
2023 08 14 19 20  60  7.0  8.0   1.6     7   5.3 112 1015.9  29.8  29.9  26.8   MM   MM    MM
2023 08 14 19 10  60  7.0  9.0    MM    MM    MM  MM 1015.8  29.8  29.9  26.6   MM   MM    MM
2023 08 14 19 00  60  7.0  8.0    MM    MM    MM  MM 1015.9  29.8  29.9  26.6   MM -1.5    MM
2023 08 14 18 50  60  7.0  9.0   1.7     7   5.5 111 1016.1  29.8  29.9  26.6   MM   MM    MM
2023 08 14 18 40  60  7.0  9.0    MM    MM    MM  MM 1016.3  29.8  29.9  26.7   MM   MM    MM
2023 08 14 18 30  70  7.0  9.0    MM    MM    MM  MM 1016.3  29.8  29.9  26.6   MM   MM    MM
2023 08 14 18 20  70  7.0  9.0   1.8     7   5.5 103 1016.5  29.8  29.9  26.8   MM   MM    MM
2023 08 14 18 10  70  7.0  9.0    MM    MM    MM  MM 1016.6  29.8  29.9  26.7   MM   MM    MM
2023 08 14 18 00  70  7.0  9.0    MM    MM    MM  MM 1016.8  29.8  29.9  26.7   MM -1.2    MM
2023 08 14 17 50  70  8.0 10.0   1.6     7   5.3  96 1016.8  29.8  29.9  26.4   MM   MM    MM
2023 08 14 17 40  70  8.0 10.0    MM    MM    MM  MM 1016.8  29.8  29.9  26.7   MM   MM    MM
2023 08 14 17 30  80  8.0  9.0    MM    MM    MM  MM 1016.9  29.8  29.9  26.8   MM   MM    MM
2023 08 14 17 20  80  8.0  9.0   1.7     7   5.5  96 1016.9  29.8  29.9  26.9   MM   MM    MM
2023 08 14 17 10  80  7.0  9.0   1.7    MM   5.5  96 1017.1  29.7  29.9  26.9   MM   MM    MM
2023 08 14 17 00  80  8.0  9.0    MM    MM    MM  MM 1017.2  29.8  29.9  26.8   MM -0.9    MM
2023 08 14 16 50  80  7.0  9.0   1.6     7   5.5 109 1017.3  29.8  29.9  26.7   MM   MM    MM
2023 08 14 16 40  80  7.0  9.0   1.6    MM   5.4 108 1017.4  29.8  29.9  26.7   MM   MM    MM
2023 08 14 16 39  MM   MM   MM   1.6     7   5.4 108     MM    MM    MM    MM   MM   MM    MM
2023 08 14 16 30  80  7.0  9.0    MM    MM    MM  MM 1017.4  29.8  29.9  26.6   MM   MM    MM
2023 08 14 16 20  80  8.0  9.0    MM    MM    MM  MM 1017.4  29.8  29.8  26.5   MM   MM    MM
2023 08 14 16 10  80  8.0  9.0    MM    MM    MM  MM 1017.5    MM  29.9    MM   MM   MM    MM
